,tweets,sentiment,subjectivity,type
1286," Wait!Russian collusion, oh my. Wrong guy! This is not how it was scripted by the DNC! Gee, why would Russia want Bernie…",-0.78125,0.9,Negative
425, How can someone charge a sick or dying person; or deny someone education? Takes a #specialevil #maga… ,-0.7142857142857143,0.8571428571428571,Negative
2007, Even the‘s explanation and rationale for its endorsement of is idiotic and non-sensical. There’s…,-0.6666666666666666,0.8333333333333334,Negative
1961,Even the‘s explanation and rationale for its endorsement of is idiotic and non-sensica… ,-0.6666666666666666,0.8333333333333334,Negative
513,SERIOUSLY?!?!? How do they have my phone number and how do I make them stop?! They’ve called like 6 times already.… ,-0.6510416666666665,0.6666666666666666,Negative
1910," Despite Trump's bellowing and posturing, the US trade deficits under Trump for the past two years are the worst trade defi…",-0.625,0.625,Negative
2163,Yup! Crazy Bernie is Russia’s candidate and also Venezuela’s candidate.,-0.6,0.9,Negative
782,"Trump says Obama lied 28 times for ACA &amp; no one called for his impeachment, yet “crazy Democrats #impeached him. Tr… ",-0.6,0.9,Negative
742,Something really stinks here. The CIA have form in interference (e.g.: JFK assassination).… ,-0.6,0.5,Negative
1881,Did you want Trump on his infamous ride with Putin? #BrokebackCongress #Election2020… ,-0.5,1.0,Negative
1358,Whoever wrote this should be fired. What the hell is wrong with you? #Bernie #Democrats #SuperTuesday #Election2020,-0.5,0.9,Negative
1560,Turn's out these Christians are sad nobody trusts them 🤭,-0.5,1.0,Negative
1486, Trump has the wrong idea about who the enemy is. Always has. #Trump #Russia #Election…,-0.5,0.9,Negative
1659,"Ari would you please educate people, that there is nothing wrong with N… ",-0.5,0.9,Negative
670," So wrong these RINOs are doing to #MAGA candidates with smears &amp; character assassination attempts. Hey , have so…",-0.5,0.9,Negative
1556, Trump has the wrong idea about who the enemy is. Always has. #Trump #Russia #Election…,-0.5,0.9,Negative
1389, Whoever wrote this should be fired. What the hell is wrong with you? #Bernie #Democrats #SuperTuesday #Election2020 https:/…,-0.5,0.9,Negative
2117,"What a horrible human, so unamerican, can't believe Bernie allowed this guy to have an opinion at all. Smh 😎🇺🇸… ",-0.5,0.55,Negative
799,made it illegal to chain women during childbirth. #Election2020 #CriminalJusticeReform #FirstStepAct,-0.5,0.5,Negative
1811, Don’t fall forand #BillBarr’s fake feud. It is a ruse to distract and pull the media from the democrat ca…,-0.5,1.0,Negative
319,"I *WANT* an Angry Woman as My President, Actuallybyfor… ",-0.5,1.0,Negative
348, Trump has the wrong idea about who the enemy is. Always has. #Trump #Russia #Election…,-0.5,0.9,Negative
377, Ex-Sanders Criminal Justice Adviser Arrested After Plotting Violent JailbreakHe allegedly planted loaded weapons and…,-0.4333333333333334,0.55,Negative
340,Ex-Sanders Criminal Justice Adviser Arrested After Plotting Violent JailbreakHe allegedly planted loaded weapons… ,-0.4333333333333334,0.55,Negative
680,"I’m sorry, this is a serious story, but the lead image keeps making me think the kitten is hacking our election.",-0.41666666666666663,0.8333333333333333,Negative
1420, Alldoes is lie.leaked the false narrative. We know that thewarnedthe Russia…,-0.4000000000000001,0.6,Negative
14," When asked what campaign issue no one is talking about,says poverty. 140 million Americans are poor and…",-0.4,0.6,Negative
622, And now he reveals this... I’m confused here??? #Election2020 🤔🤷‍♂️ ,-0.4,0.7,Negative
47," When asked what campaign issue no one is talking about,says poverty. 140 million Americans are poor and…",-0.4,0.6,Negative
1196,The Establishment hates Bernie Sanders for the same reason they hate Donald #Trump: he is not part of their little… ,-0.4,0.5125,Negative
1687,Yo Patriots 👇🏾👇🏾👇🏾badly broken 🇺🇸,-0.4,0.4,Negative
2223, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
599, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1595, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
1662, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
430, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1357, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
176, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1702, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
2107, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1715, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
2154, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
2262, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1614, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1376, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
1616, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1641, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1882, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
1370, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1966, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1962, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
331, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1816, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
69, We are making sashes to wear in the Elmhurst St Pats Parade on March 7!! See you there 🎉 .#LeadingBeginsWithListening…,-0.390625,0.23333333333333334,Negative
1700, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1431, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT ,-0.390625,1.0,Negative
1620, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
484, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1461, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
2153, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
1411, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,-0.390625,1.0,Negative
88, #RussianCollusion Time to act now. After #election2020 may be too late! …,-0.375,0.6,Negative
563,"Silly Distractor-In-Chief! Plain and simply said, ""YOU ARE CORRUPT."" NO, IFS,ANDS, or BUTS! #RussianInterference… ",-0.3660714285714286,0.6473214285714286,Negative
2144,"I am so sick ofads ""The ONLY Democrat who ...""He wasn't a flipping Democrat when he was mayor of… ",-0.35714285714285715,0.9285714285714286,Negative
46, They are so totally incompetent. That is how they run their states into the sewer,-0.35,0.3666666666666667,Negative
1941,"#POTUS Donald Trumps style of leadership, diplomacy, and oratory are appalling. D or R, I want a #POTUS who will up… ",-0.35,0.9,Negative
1942," look tom i agree with what you are saying here, but i am seriously worried about trump. we need to STOP… ",-0.3333333333333333,0.6666666666666666,Negative
2122, An invasive species of turtle presents a serious threat to #Kentucky and the rest of the country by dumping on the #Rul…,-0.3333333333333333,0.6666666666666666,Negative
1181,Goodgot a competition Putin has a big choice to make a corrupt fake billionaire or a socialist mi… ,-0.3333333333333333,0.7000000000000001,Negative
2110,An invasive species of turtle presents a serious threat to #Kentucky and the rest of the country by dumping on the… ,-0.3333333333333333,0.6666666666666666,Negative
64,Serious fact. The world has played favorites with the meaning of the word Semite. Who is and who isn't. Now that… ,-0.3333333333333333,0.6666666666666666,Negative
1549,Common sense #GunControlNow is unconstitutional for some narrow minded people. But illegal #StopAndFrisk and… ,-0.3333333333333333,0.4666666666666666,Negative
1199, The Establishment hates Bernie Sanders for the same reason they hate Donald #Trump: he is not part of their little clu…,-0.32916666666666666,0.5083333333333333,Negative
133,why do you Demonrats hate the flag so much??? ,-0.30000000000000004,0.55,Negative
1514, why do you Demonrats hate the flag so much???,-0.30000000000000004,0.55,Negative
423, BREAKING: Bloomberg to Release Women Who Complained About Him From Non-Disclosure Agreements #Election2020 …,-0.3,0.2,Negative
1273, BREAKING: Bloomberg to Release Women Who Complained About Him From Non-Disclosure Agreements #Election2020 …,-0.3,0.2,Negative
261,Duh.,-0.3,0.6,Negative
1948,The Political-Industrial Complex has grown well beyond Eisenhower's now-quaint Farewell Warning.… ,-0.3,0.4,Negative
1993, BREAKING: Bloomberg to Release Women Who Complained About Him From Non-Disclosure Agreements #Election2020 …,-0.3,0.2,Negative
520, BREAKING: Bloomberg to Release Women Who Complained About Him From Non-Disclosure Agreements #Election2020 …,-0.3,0.2,Negative
1064, SCOTUS will hear arguments in Colorado faithless electors case April 28 and Little Sisters of the Poor Obamacare contracepti…,-0.29375,0.55,Negative
290,While favoring #Trump re-election think hard about this...#Election2020 ,-0.2916666666666667,0.5416666666666666,Negative
150, Bloomberg dismisses past comments as ‘a joke.’ NDA shows plaintiff barred from offering differing view. #Election2020 http…,-0.25,0.25,Negative
146, Bloomberg dismisses past comments as ‘a joke.’ NDA shows plaintiff barred from offering differing view. #Election2020 http…,-0.25,0.25,Negative
164, Bloomberg dismisses past comments as ‘a joke.’ NDA shows plaintiff barred from offering differing view. #Election2020 http…,-0.25,0.25,Negative
129,Bloomberg dismisses past comments as ‘a joke.’ NDA shows plaintiff barred from offering differing view.… ,-0.25,0.25,Negative
2098, Unbelievable. 😡,-0.25,1.0,Negative
2093, Unbelievable. 😡,-0.25,1.0,Negative
2244, Unbelievable. 😡,-0.25,1.0,Negative
1109, Iowa radio host Jeff Stein explains what went wrong in the #iowacaucuses2020 and why Nevada may suffer the same fate. #Elec…,-0.25,0.5125,Negative
163, Bloomberg dismisses past comments as ‘a joke.’ NDA shows plaintiff barred from offering differing view. #Election2020 http…,-0.25,0.25,Negative
1146,"Yep, . I refuse to subscribe to or watch the lazy, biased #CorporateMe…",-0.25,1.0,Negative
1134," Yep, . I refuse to subscribe to or watch the lazy, biased… ",-0.25,1.0,Negative
2022,Unbelievable. 😡,-0.25,1.0,Negative
2192, Unbelievable. 😡 ,-0.25,1.0,Negative
2162, Unbelievable. 😡,-0.25,1.0,Negative
1223,That WaPo did their job &amp; reported Sanders/Russia story shows it's not Trump's fake narrative of Russian story only… ,-0.25,0.5,Negative
1126,"I know it might be a shock to some people but Trump will probably lose this badly. But no matter how much he loses,… ",-0.24999999999999992,0.43333333333333335,Negative
402,"The Good, Bad, and Ugly argued with a 🪑 when ⁦⁩ was potus, supported ⁦⁩ in ‘16, and is… ",-0.23333333333333328,0.7555555555555555,Negative
496, Studying how education/awareness can be given in small doses &amp; integrated in everyday media consumption practices for peop…,-0.225,0.5,Negative
292, Studying how education/awareness can be given in small doses &amp; integrated in everyday media consumption practices for peop…,-0.225,0.5,Negative
107,"There's something seriously wrong with our ""democracy"" when one of the two major news outlets headlines that Americ… ",-0.21875,0.7,Negative
1293,"In order to beat foreign #election2020 interference, Twitter accounts that don't identify at least as in a country… ",-0.2125,0.2625,Negative
413,He is just as bad as Donald Trump! #NeverBernieIt is imperative that we stop Bernie Sanders from becoming the nom… ,-0.21249999999999988,0.7583333333333333,Negative
417, He is just as bad as Donald Trump! #NeverBernieIt is imperative that we stop Bernie Sanders from becoming the nominee o…,-0.21249999999999988,0.7583333333333333,Negative
1340,"Seriously, AMERICA is counting on you #Kentucky! You maybe our last hope of keeping #MoscowMitchMcConnell from dest… ",-0.20833333333333331,0.36666666666666664,Negative
1976," Already upset with herself for a lackluster New Hampshire debate and down about her disappointing 3rd-place finish in Iowa, …",-0.20639730639730638,0.48114478114478115,Negative
1955,Already upset with herself for a lackluster New Hampshire debate and down about her disappointing 3rd-place finish… ,-0.20639730639730638,0.48114478114478115,Negative
2005," Already upset with herself for a lackluster New Hampshire debate and down about her disappointing 3rd-place finish in Iowa, …",-0.20639730639730638,0.48114478114478115,Negative
2183," Already upset with herself for a lackluster New Hampshire debate and down about her disappointing 3rd-place finish in Iowa, …",-0.20639730639730638,0.48114478114478115,Negative
1987,I'm so sick and tired of Trump &amp; Republicans. Any candidate is better than this trainwreck we are in. I pledge to p… ,-0.20476190476190478,0.6857142857142856,Negative
2032,RT : I'm so sick and tired of Trump &amp; Republicans. Any candidate is better than this trainwreck we are in. I pledge to put coun…,-0.20476190476190478,0.6857142857142856,Negative
1996,RT : I'm so sick and tired of Trump &amp; Republicans. Any candidate is better than this trainwreck we are in. I pledge to put coun…,-0.20476190476190478,0.6857142857142856,Negative
2010,RT : I'm so sick and tired of Trump &amp; Republicans. Any candidate is better than this trainwreck we are in. I pledge to put coun…,-0.20476190476190478,0.6857142857142856,Negative
2024,RT : I'm so sick and tired of Trump &amp; Republicans. Any candidate is better than this trainwreck we are in. I pledge to put coun…,-0.20476190476190478,0.6857142857142856,Negative
2309," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
2308," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
791,The clearest cause for the poor pay and job insecurity of today’s #adjuncts is the decline in public support for hi… ,-0.2,0.3333333333333333,Negative
1239," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
1371," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
188," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
1502," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
865, Has thejust become one big criminal enterprise?#Election2020,-0.2,0.325,Negative
2268," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
2267," During a game atthis week, political ads showingwithplayed repeatedly on dis…",-0.2,0.25,Negative
2070,"With ads like this, it makes ya wonder who’s making the epic fail decisions for #TeamBloomberg? Billion$ at his f… ",-0.2,0.35,Negative
347,"Russia helping Bernie now, then they will help Trump in November, Bernie getting played heavy while Democrats &amp; Ame… ",-0.2,0.5,Negative
822,I am solidly behind idea of vetting all candidates last one standing equals viabil… ,-0.2,0.3833333333333333,Negative
243, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
973, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
2177, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
1227, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
776, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
1068, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
989, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
695, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
699, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
993, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
861, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
499,This is grotesque. Obama spent that 338.3 over the entire election. Bloomberg spent it in 10 weeks,-0.1875,0.45625000000000004,Negative
864, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
1046, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
806, What a weak petty stoogehas become.The majority of #American voters don't like or trust you!You can'…,-0.1875,0.3125,Negative
360,"In 2016, I gave my vote to black women by voting as black activist groups recommended. Doing it again this year. Th… ",-0.16666666666666666,0.43333333333333335,Negative
1216,"#Traitor exposed . Sadly, the American MISSED #USA #America #American #Election2020",-0.16666666666666666,0.3333333333333333,Negative
157, One less subject for you #DNI #VoteBlueToSaveAmerica #Election2020,-0.16666666666666666,0.19999999999999998,Negative
543," 13% of people living in households earning less than $25,000 in annual income are on an employer-based insurance plan. Of tho…",-0.16666666666666666,0.06666666666666667,Negative
1646,#Election2020 for president is less than 9 months away.Let the people speak despite what BOTH sides cry about.… ,-0.16666666666666666,0.06666666666666667,Negative
382," In 2016, I gave my vote to black women by voting as black activist groups recommended. Doing it again this year. They are bette…",-0.16666666666666666,0.43333333333333335,Negative
1261, That WaPo did their job &amp; reported Sanders/Russia story shows it's not Trump's fake narrative of Russian story only agains…,-0.16666666666666666,0.6666666666666666,Negative
1150, Why isn't Trump more disgusted by Russian interference? #election2020 #2020election,-0.16666666666666666,0.5,Negative
2214," has the LBGQ vote. (I know, no T; diff subject) has the women's vote has the in… ",-0.16666666666666666,0.3333333333333333,Negative
2210,_ I deeply hope that we won’t go from one angry old man yelling at us to another angry old man yelling… ,-0.16,0.5599999999999999,Negative
495, Bernie telling it like it is.Dems are keeping him down. #Bernie #Election2020 #BernieKnew https:/…,-0.15555555555555559,0.2888888888888889,Negative
370,"(2/3)""There’s a lot of work to do to electup and down the ballot this November, and the hardworkin… ",-0.15555555555555559,0.2888888888888889,Negative
461,Bernie telling it like it is.Dems are keeping him down. #Bernie #Election2020 #BernieKnew,-0.15555555555555559,0.2888888888888889,Negative
528,I don't believe Russia is helping either of them. Democrats are using Russia to take Bernie and Trump down. It's no… ,-0.15555555555555559,0.2888888888888889,Negative
855,RT : “A new poll shows that President Donald Trump is either behind or in dead heat with four of his Democratic challengers…,-0.15454545454545457,0.5181818181818182,Negative
32,#TikTok #RussianCollusion #TrumpIsaCriminal #BarrMustResign #AbuseOfPower Every day the dark saga worsens jeopardiz… ,-0.15,0.4,Negative
114," There's something seriously wrong with our ""democracy"" when one of the two major news outlets headlines that American intelli…",-0.14583333333333334,0.4666666666666666,Negative
1213,"If Senator Scott is even partially correct in his estimate of President #Trump's support among black voters, the… ",-0.13333333333333333,0.3666666666666667,Negative
1350,"RT : With all due respect, this should have happened before 2020. ",-0.125,0.375,Negative
1944,Democrats have been bought by foreign interests. #Election2020,-0.125,0.125,Negative
913," It's time to email all other candidates and ask that they all condemn this behavior.No intern, st… ",-0.125,0.375,Negative
1416,"RT : With all due respect, this should have happened before 2020.",-0.125,0.375,Negative
1978,"""Past performance is not an indicator of future outcomes.""",-0.125,0.1875,Negative
1352,"Rich white folks is scared out of their mind and as usual they've got some ""coons"" out here doing the dirty work of… ",-0.11875,0.45,Negative
1399,"Rich white folks is scared out of their mind and as usual they've got some ""coons"" out here doing the dirty work of… ",-0.11875,0.45,Negative
683,How long ago was this #ballot printed?! I bet half of the recipients don't know who all has dropped out. And as a c… ,-0.11458333333333333,0.2833333333333333,Negative
653,The next president could reshape the United States’ foreign policy with a few strokes of the pen.sho… ,-0.10833333333333334,0.075,Negative
1781," Your getting scared and weak, had to give us Nancy Pelosi high school bully name muthafucker.You… ",-0.1075,0.5825,Negative
494,"RT : . is the highest spending presidential candidate of all time. According to our data, he has spent $338.7M o…",-0.1,0.1,Negative
1788,"Just so you know, in case you're confused or have bought into all the bollocks recently:Sinn Fein have as much of… ",-0.1,0.44999999999999996,Negative
519,"RT : . is the highest spending presidential candidate of all time. According to our data, he has spent $338.7M o…",-0.1,0.1,Negative
168,"Personally,I prefer president's who aren't mentally ill.#RepublicanParty #Republicans #Senate #voters #Election2020",-0.1,0.2,Negative
487,"RT : . is the highest spending presidential candidate of all time. According to our data, he has spent $338.7M o…",-0.1,0.1,Negative
583,🗳️ The youth vote--particularly among women--is expected to break records for #Election2020 says a study by… ,-0.1,0.4,Negative
978,#MikeBloomberg has bot farms.in '16 spent $1 million in misinformation bots. Should be illegal...w… ,-0.1,0.1,Negative
1690,"RT : . is the highest spending presidential candidate of all time. According to our data, he has spent $338.7M o…",-0.1,0.1,Negative
694, It is outrageous that ALL OF THE STATES in our great country aren’t using e-verify. Take away the incentive to come here alrea…,-0.09999999999999998,0.875,Negative
2026, Tom Perez won’t be part of that discussion- some of us wanted it for this cycle and he said no. He’s the most disastrous DN…,-0.09999999999999998,0.65,Negative
1784, Tom Perez won’t be part of that discussion- some of us wanted it for this cycle and he said no. He’s the most disastrous DN…,-0.09999999999999998,0.65,Negative
446,#NY TIMES: TRUMP'S NEW INTEL CHIEF ASKING FOR EVIDENCE BEHIND BRIEFING ON RUSSIAN INTERFERENCE IN 2020 RACE! REASON… ,-0.08787878787878789,0.38484848484848483,Negative
412,"When this #American #nightmare is over in a few months or years, I wonder how long it will take the #country to #recover? #Election2020",-0.08333333333333333,0.16666666666666666,Negative
2292, Funny how fake Christians support the gop. A real Christian would not support any of the things Donald Trump has some o…,-0.08333333333333333,0.6666666666666666,Negative
2293, Funny how fake Christians support the gop. A real Christian would not support any of the things Donald Trump has some o…,-0.08333333333333333,0.6666666666666666,Negative
1114, Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for a long…,-0.08333333333333333,0.08333333333333333,Negative
1298, Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for a long…,-0.08333333333333333,0.08333333333333333,Negative
244,Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for… ,-0.08333333333333333,0.08333333333333333,Negative
1225, Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for a long…,-0.08333333333333333,0.08333333333333333,Negative
1318, Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for a long…,-0.08333333333333333,0.08333333333333333,Negative
2018, 🇺🇸🇺🇸Record number of candidates filed to run for office in House &amp; SenateBreaking previous numbers from same period.…,-0.08333333333333333,0.14583333333333331,Negative
151,I care less about #Russian interference than I do media interference. #Election2020,-0.08333333333333333,0.03333333333333333,Negative
1177, Here's a slightly longer clip of Yvette Carnell talking about . He's been acting a g0dd fool for a long…,-0.08333333333333333,0.08333333333333333,Negative
547,"Everything, everyone is not a Russian asset. Let's turn down the conspiracy theory engine about 17 notches. #Election2020",-0.07777777777777779,0.14444444444444446,Negative
1337,STOP IT-! YOU LIE BIG TIME!WE KNOW RUSSIA HAS HELPED BERNIEOBAMA PPL WERE IN UKRAINE! TO BRING DOWN TRUMP?STO… ,-0.07777777777777779,0.19444444444444448,Negative
1971,This is not normal. This is not okay.#trump#gop #maga #election2020 …,-0.075,0.6499999999999999,Negative
1366,This is not normal. This is not okay.#trump#gop #maga #election2020 …,-0.075,0.6499999999999999,Negative
404, Treason can only be applied during an Active War. It is giving aid and comfort to the enemy. Our fo… ,-0.06666666666666667,0.8,Negative
95,"Quite the crappy flash overall USfor February.Partly due to #coronavirus disruptions, but also lin… ",-0.0625,0.1875,Negative
